,Unnamed: 0,run_id,condition,view_history,rt,trial_type,trial_index,time_elapsed,PROLIFIC_PID,STUDY_ID,SESSION_ID,subject_id,session_id,response,question_order,phase,prompt,real_world,typical_goal,task
10,10,10,1,"[{""page_index"":0,""viewing_time"":2987},{""page_index"":1,""viewing_time"":10773}]",13761,instructions,10,941036,21,60edecb2a22d916d2ed4a6f9,60ef4495862a9091952419bc,60e435dd661306d662234181,60ef4495862a9091952419bc,"""","""","""","""","""","""",""""
11,11,10,1,"""",8298,survey-multi-choice,11,949351,21,60edecb2a22d916d2ed4a6f9,60ef4495862a9091952419bc,60e435dd661306d662234181,60ef4495862a9091952419bc,"{""Q0"":""How frequently you think people try to achieve each goal."",""Q1"":""By selecting an option from a multiple choice scale.""}","[0,1]","""","""","""","""",""""
12,12,10,1,"[{""page_index"":0,""viewing_time"":1559}]",1559,instructions,12,950917,21,60edecb2a22d916d2ed4a6f9,60ef4495862a9091952419bc,60e435dd661306d662234181,60ef4495862a9091952419bc,"""","""","""","""","""","""",""""
13,13,10,1,"""",19652,survey-likert,13,970599,21,60edecb2a22d916d2ed4a6f9,60ef4495862a9091952419bc,60e435dd661306d662234181,60ef4495862a9091952419bc,"{""freq"":3}",[0],test,"""","""","""",""""
14,14,10,1,"""",17159,survey-likert,14,987769,21,60edecb2a22d916d2ed4a6f9,60ef4495862a9091952419bc,60e435dd661306d662234181,60ef4495862a9091952419bc,"{""freq"":5}",[0],test,"""","""","""",""""
15,15,10,1,"""",11956,survey-likert,15,999748,21,60edecb2a22d916d2ed4a6f9,60ef4495862a9091952419bc,60e435dd661306d662234181,60ef4495862a9091952419bc,"{""freq"":4}",[0],test,"""","""","""",""""
16,16,10,1,"""",6481,survey-likert,16,1006239,21,60edecb2a22d916d2ed4a6f9,60ef4495862a9091952419bc,60e435dd661306d662234181,60ef4495862a9091952419bc,"{""freq"":1}",[0],test,"""","""","""",""""
17,17,10,1,"""",6816,survey-likert,17,1013078,21,60edecb2a22d916d2ed4a6f9,60ef4495862a9091952419bc,60e435dd661306d662234181,60ef4495862a9091952419bc,"{""freq"":1}",[0],test,"""","""","""",""""
18,18,10,1,"""",11402,survey-likert,18,1024503,21,60edecb2a22d916d2ed4a6f9,60ef4495862a9091952419bc,60e435dd661306d662234181,60ef4495862a9091952419bc,"{""freq"":5}",[0],test,"""","""","""",""""
19,19,10,1,"""",8562,survey-likert,19,1033088,21,60edecb2a22d916d2ed4a6f9,60ef4495862a9091952419bc,60e435dd661306d662234181,60ef4495862a9091952419bc,"{""freq"":2}",[0],test,"""","""","""",""""
20,20,10,1,"""",29561,survey-text,20,1062699,21,60edecb2a22d916d2ed4a6f9,60ef4495862a9091952419bc,60e435dd661306d662234181,60ef4495862a9091952419bc,"{""Q0"":""9"",""Q1"":""3"",""Q2"":""8"",""Q3"":""3"",""Q4"":""None""}","""","""","""","""","""",""""
21,21,11,2,"[{""page_index"":0,""viewing_time"":8203.50000000326},{""page_index"":1,""viewing_time"":7404.099999999744},{""page_index"":2,""viewing_time"":7201.099999991129},{""page_index"":3,""viewing_time"":11523.700000005192},{""page_index"":4,""viewing_time"":2727.4000000033993}]",37061.7,instructions,0,37094,16,60edecb2a22d916d2ed4a6f9,60ef44c1d25613f5bd6eba69,60dba715bff7af04ab2ee539,60ef44c1d25613f5bd6eba69,"""","""","""","""","""","""",""""
22,22,11,2,"""",20314.4,survey-multi-choice,1,57434,16,60edecb2a22d916d2ed4a6f9,60ef44c1d25613f5bd6eba69,60dba715bff7af04ab2ee539,60ef44c1d25613f5bd6eba69,"{""Q0"":""Plans to achieve goals."",""Q1"":""By writing text.""}","[0,1]","""","""","""","""",""""
23,23,11,2,"[{""page_index"":0,""viewing_time"":3065.2999999874737}]",3066.5,instructions,2,60506,16,60edecb2a22d916d2ed4a6f9,60ef44c1d25613f5bd6eba69,60dba715bff7af04ab2ee539,60ef44c1d25613f5bd6eba69,"""","""","""","""","""","""",""""
24,24,11,2,"""",173262.5,survey-text,3,233787,16,60edecb2a22d916d2ed4a6f9,60ef44c1d25613f5bd6eba69,60dba715bff7af04ab2ee539,60ef44c1d25613f5bd6eba69,"{""Plan"":""I'm going to make a new pair of shoes for this coming ceremony,I will ask a cobbler to made a very beautiful black shoe for me because am using it with white long dresses.""}","""",test,Make a pair of new shoes.,"""","""","generate, unconstrained"
25,25,11,2,"""",77807.2,survey-text,4,311614,16,60edecb2a22d916d2ed4a6f9,60ef44c1d25613f5bd6eba69,60dba715bff7af04ab2ee539,60ef44c1d25613f5bd6eba69,"{""Plan"":""Yeah!! I'm going to steal the award by doing great in the competition and focus more on my opponent weakness""}","""",test,Steal the championship trophy from behind your school's award case.,"""","""","generate, unconstrained"
26,26,11,2,"""",97903,survey-text,5,409530,16,60edecb2a22d916d2ed4a6f9,60ef44c1d25613f5bd6eba69,60dba715bff7af04ab2ee539,60ef44c1d25613f5bd6eba69,"{""Plan"":""I'm going to cool down a record by doing my best in the the activity""}","""",test,Cool down in a record-breaking heat wave.,"""","""","generate, unconstrained"
27,27,11,2,"""",68280.3,survey-text,6,477827,16,60edecb2a22d916d2ed4a6f9,60ef44c1d25613f5bd6eba69,60dba715bff7af04ab2ee539,60ef44c1d25613f5bd6eba69,"{""Plan"":""I will make sure I campaign for all my friends to vote for mayor""}","""",test,Help your local town mayor win re-election.,"""","""","generate, unconstrained"
28,28,11,2,"""",41072,survey-text,7,518917,16,60edecb2a22d916d2ed4a6f9,60ef44c1d25613f5bd6eba69,60dba715bff7af04ab2ee539,60ef44c1d25613f5bd6eba69,"{""Plan"":""I'm gonna play basketball with my friends this coming weekend""}","""",test,Play baseball with your friends.,"""","""","generate, unconstrained"
29,29,11,2,"""",57431.7,survey-text,8,576357,16,60edecb2a22d916d2ed4a6f9,60ef44c1d25613f5bd6eba69,60dba715bff7af04ab2ee539,60ef44c1d25613f5bd6eba69,"{""Plan"":""It's been awhile I go out with my dog, definitely tomorrow is alright to take stroll with her""}","""",test,Take your dog for a walk.,"""","""","generate, unconstrained"
30,30,11,2,"""",41508.3,survey-text,9,617880,16,60edecb2a22d916d2ed4a6f9,60ef44c1d25613f5bd6eba69,60dba715bff7af04ab2ee539,60ef44c1d25613f5bd6eba69,"{""Plan"":""I'm gonna call someone to fix my sofa onto the roof of my house very soon""}","""",test,Get your sofa onto the roof of your house.,"""","""","generate, unconstrained"
31,31,11,2,"[{""page_index"":0,""viewing_time"":8825.800000005984},{""page_index"":1,""viewing_time"":14915.89999999269}]",23742.9,instructions,10,641625,16,60edecb2a22d916d2ed4a6f9,60ef44c1d25613f5bd6eba69,60dba715bff7af04ab2ee539,60ef44c1d25613f5bd6eba69,"""","""","""","""","""","""",""""
32,32,11,2,"""",25698.1,survey-multi-choice,11,667345,16,60edecb2a22d916d2ed4a6f9,60ef44c1d25613f5bd6eba69,60dba715bff7af04ab2ee539,60ef44c1d25613f5bd6eba69,"{""Q0"":""The goodness of plans."",""Q1"":""By moving sliders.""}","[0,1]","""","""","""","""",""""
33,33,11,2,"[{""page_index"":0,""viewing_time"":4807.699999990291},{""page_index"":1,""viewing_time"":10891.900000002352}]",15700.7,instructions,12,683049,16,60edecb2a22d916d2ed4a6f9,60ef44c1d25613f5bd6eba69,60dba715bff7af04ab2ee539,60ef44c1d25613f5bd6eba69,"""","""","""","""","""","""",""""
34,34,11,2,"""",13895.3,survey-multi-choice,13,696955,16,60edecb2a22d916d2ed4a6f9,60ef44c1d25613f5bd6eba69,60dba715bff7af04ab2ee539,60ef44c1d25613f5bd6eba69,"{""Q0"":""How frequently you think people try to achieve each goal."",""Q1"":""By selecting an option from a multiple choice scale.""}","[0,1]","""","""","""","""",""""
35,35,11,2,"[{""page_index"":0,""viewing_time"":2804.3999999936204}]",2805.4,instructions,14,699763,16,60edecb2a22d916d2ed4a6f9,60ef44c1d25613f5bd6eba69,60dba715bff7af04ab2ee539,60ef44c1d25613f5bd6eba69,"""","""","""","""","""","""",""""
36,36,11,2,"""",19441,survey-likert,15,719238,16,60edecb2a22d916d2ed4a6f9,60ef44c1d25613f5bd6eba69,60dba715bff7af04ab2ee539,60ef44c1d25613f5bd6eba69,"{""freq"":2}",[0],test,"""","""","""",""""
37,37,11,2,"""",36211.9,survey-likert,16,755458,16,60edecb2a22d916d2ed4a6f9,60ef44c1d25613f5bd6eba69,60dba715bff7af04ab2ee539,60ef44c1d25613f5bd6eba69,"{""freq"":3}",[0],test,"""","""","""",""""
38,38,11,2,"""",6804.4,survey-likert,17,762276,16,60edecb2a22d916d2ed4a6f9,60ef44c1d25613f5bd6eba69,60dba715bff7af04ab2ee539,60ef44c1d25613f5bd6eba69,"{""freq"":3}",[0],test,"""","""","""",""""
39,39,11,2,"""",17088.9,survey-likert,18,779372,16,60edecb2a22d916d2ed4a6f9,60ef44c1d25613f5bd6eba69,60dba715bff7af04ab2ee539,60ef44c1d25613f5bd6eba69,"{""freq"":1}",[0],test,"""","""","""",""""
40,40,11,2,"""",9298.9,survey-likert,19,788684,16,60edecb2a22d916d2ed4a6f9,60ef44c1d25613f5bd6eba69,60dba715bff7af04ab2ee539,60ef44c1d25613f5bd6eba69,"{""freq"":0}",[0],test,"""","""","""",""""
41,41,11,2,"""",12680.5,survey-likert,20,801372,16,60edecb2a22d916d2ed4a6f9,60ef44c1d25613f5bd6eba69,60dba715bff7af04ab2ee539,60ef44c1d25613f5bd6eba69,"{""freq"":2}",[0],test,"""","""","""",""""
42,42,11,2,"""",5124.7,survey-likert,21,806511,16,60edecb2a22d916d2ed4a6f9,60ef44c1d25613f5bd6eba69,60dba715bff7af04ab2ee539,60ef44c1d25613f5bd6eba69,"{""freq"":2}",[0],test,"""","""","""",""""
43,43,11,2,"""",56098.4,survey-text,22,862642,16,60edecb2a22d916d2ed4a6f9,60ef44c1d25613f5bd6eba69,60dba715bff7af04ab2ee539,60ef44c1d25613f5bd6eba69,"{""Q0"":""10"",""Q1"":""5"",""Q2"":""8"",""Q3"":""6"",""Q4"":""It's fun""}","""","""","""","""","""",""""
44,44,12,4,"[{""page_index"":0,""viewing_time"":7396.100000000035},{""page_index"":1,""viewing_time"":1367.0999999999767},{""page_index"":2,""viewing_time"":1295},{""page_index"":3,""viewing_time"":1441},{""page_index"":4,""viewing_time"":1455.2000000000116}]",12957.5,instructions,0,13051,19,60edecb2a22d916d2ed4a6f9,60ef447c8b1004ab35fa138c,60e0bdf371f6d14de432d06d,60ef447c8b1004ab35fa138c,"""","""","""","""","""","""",""""
45,45,12,4,"""",6525.7,survey-multi-choice,1,19607,19,60edecb2a22d916d2ed4a6f9,60ef447c8b1004ab35fa138c,60e0bdf371f6d14de432d06d,60ef447c8b1004ab35fa138c,"{""Q0"":""Plans to achieve goals."",""Q1"":""By writing text.""}","[0,1]","""","""","""","""",""""
46,46,12,4,"[{""page_index"":0,""viewing_time"":2178.5}]",2179.5,instructions,2,21796,19,60edecb2a22d916d2ed4a6f9,60ef447c8b1004ab35fa138c,60e0bdf371f6d14de432d06d,60ef447c8b1004ab35fa138c,"""","""","""","""","""","""",""""
47,47,12,4,"""",156103.4,survey-text,3,177994,19,60edecb2a22d916d2ed4a6f9,60ef447c8b1004ab35fa138c,60e0bdf371f6d14de432d06d,60ef447c8b1004ab35fa138c,"{""Plan"":""Get as much oxygen tanks and masks, then I proceed to building a fortified fort. ""}","""",test,Make a fort underwater.,"""","""","generate, unconstrained"
48,48,12,4,"""",206968.1,survey-text,4,384980,19,60edecb2a22d916d2ed4a6f9,60ef447c8b1004ab35fa138c,60e0bdf371f6d14de432d06d,60ef447c8b1004ab35fa138c,"{""Plan"":""I get my tools, then I find the puncture, then I remove the affected tire and I replace with a spare tire.""}","""",test,Fix a flat tire.,"""","""","generate, unconstrained"
49,49,12,4,"""",291442.9,survey-text,5,676453,19,60edecb2a22d916d2ed4a6f9,60ef447c8b1004ab35fa138c,60e0bdf371f6d14de432d06d,60ef447c8b1004ab35fa138c,"{""Plan"":""I try to determine the exact location the diver will land and put a life net there.""}","""",test,Create a safe landing for a falling skydiver.,"""","""","generate, unconstrained"
50,50,12,4,"""",64932.6,survey-text,6,741406,19,60edecb2a22d916d2ed4a6f9,60ef447c8b1004ab35fa138c,60e0bdf371f6d14de432d06d,60ef447c8b1004ab35fa138c,"{""Plan"":""I set the dishes aside then I proceed to wash them""}","""",test,Clean the dirty dishes.,"""","""","generate, unconstrained"
51,51,12,4,"""",293343.7,survey-text,7,1034777,19,60edecb2a22d916d2ed4a6f9,60ef447c8b1004ab35fa138c,60e0bdf371f6d14de432d06d,60ef447c8b1004ab35fa138c,"{""Plan"":""I try to switch off my electricity and I grab an extinguisher and put off the fire.""}","""",test,Put out a fire that started near the wires from your TV.,"""","""","generate, unconstrained"
52,52,12,4,"""",52205.5,survey-text,8,1087005,19,60edecb2a22d916d2ed4a6f9,60ef447c8b1004ab35fa138c,60e0bdf371f6d14de432d06d,60ef447c8b1004ab35fa138c,"{""Plan"":""Get a submarine and go into the cove""}","""",test,Find out how many sharks live in a cove off a nearby coast.,"""","""","generate, unconstrained"
53,53,12,4,"""",172240.6,survey-text,9,1259271,19,60edecb2a22d916d2ed4a6f9,60ef447c8b1004ab35fa138c,60e0bdf371f6d14de432d06d,60ef447c8b1004ab35fa138c,"{""Plan"":""Try to always water the plant and care for it.""}","""",test,Keep the plants in your garden alive.,"""","""","generate, unconstrained"
54,54,12,4,"[{""page_index"":0,""viewing_time"":3111.2000000001863},{""page_index"":1,""viewing_time"":79883.5}]",82996.3,instructions,10,1342276,19,60edecb2a22d916d2ed4a6f9,60ef447c8b1004ab35fa138c,60e0bdf371f6d14de432d06d,60ef447c8b1004ab35fa138c,"""","""","""","""","""","""",""""
55,55,12,4,"""",13640.3,survey-multi-choice,11,1355934,19,60edecb2a22d916d2ed4a6f9,60ef447c8b1004ab35fa138c,60e0bdf371f6d14de432d06d,60ef447c8b1004ab35fa138c,"{""Q0"":""How frequently you think people try to achieve each goal."",""Q1"":""By selecting an option from a multiple choice scale.""}","[0,1]","""","""","""","""",""""
56,56,12,4,"[{""page_index"":0,""viewing_time"":29852.09999999986}]",29853.7,instructions,12,1385794,19,60edecb2a22d916d2ed4a6f9,60ef447c8b1004ab35fa138c,60e0bdf371f6d14de432d06d,60ef447c8b1004ab35fa138c,"""","""","""","""","""","""",""""
57,57,12,4,"""",15475,survey-likert,13,1401282,19,60edecb2a22d916d2ed4a6f9,60ef447c8b1004ab35fa138c,60e0bdf371f6d14de432d06d,60ef447c8b1004ab35fa138c,"{""freq"":5}",[0],test,"""","""","""",""""
58,58,12,4,"""",5205.5,survey-likert,14,1406500,19,60edecb2a22d916d2ed4a6f9,60ef447c8b1004ab35fa138c,60e0bdf371f6d14de432d06d,60ef447c8b1004ab35fa138c,"{""freq"":0}",[0],test,"""","""","""",""""
59,59,12,4,"""",9034.1,survey-likert,15,1415570,19,60edecb2a22d916d2ed4a6f9,60ef447c8b1004ab35fa138c,60e0bdf371f6d14de432d06d,60ef447c8b1004ab35fa138c,"{""freq"":3}",[0],test,"""","""","""",""""
60,60,12,4,"""",6369.1,survey-likert,16,1421949,19,60edecb2a22d916d2ed4a6f9,60ef447c8b1004ab35fa138c,60e0bdf371f6d14de432d06d,60ef447c8b1004ab35fa138c,"{""freq"":0}",[0],test,"""","""","""",""""
61,61,12,4,"""",9630.8,survey-likert,17,1431601,19,60edecb2a22d916d2ed4a6f9,60ef447c8b1004ab35fa138c,60e0bdf371f6d14de432d06d,60ef447c8b1004ab35fa138c,"{""freq"":1}",[0],test,"""","""","""",""""
62,62,12,4,"""",9651.6,survey-likert,18,1441262,19,60edecb2a22d916d2ed4a6f9,60ef447c8b1004ab35fa138c,60e0bdf371f6d14de432d06d,60ef447c8b1004ab35fa138c,"{""freq"":3}",[0],test,"""","""","""",""""
63,63,12,4,"""",10637.5,survey-likert,19,1451919,19,60edecb2a22d916d2ed4a6f9,60ef447c8b1004ab35fa138c,60e0bdf371f6d14de432d06d,60ef447c8b1004ab35fa138c,"{""freq"":0}",[0],test,"""","""","""",""""
64,64,12,4,"""",29265.3,survey-text,20,1481217,19,60edecb2a22d916d2ed4a6f9,60ef447c8b1004ab35fa138c,60e0bdf371f6d14de432d06d,60ef447c8b1004ab35fa138c,"{""Q0"":""10"",""Q1"":""10"",""Q2"":""10"",""Q3"":""5"",""Q4"":""}","""","""","""","""","""",""""
65,65,21,3,"[{""page_index"":0,""viewing_time"":17573},{""page_index"":1,""viewing_time"":8287},{""page_index"":2,""viewing_time"":34327},{""page_index"":3,""viewing_time"":33617},{""page_index"":4,""viewing_time"":2360}]",96165,instructions,0,96167,27,60edecb2a22d916d2ed4a6f9,60ef46c95a07abbd12a3aef1,60eeafb1590e2f2b86c77617,60ef46c95a07abbd12a3aef1,"""","""","""","""","""","""",""""
66,66,21,3,"""",20800,survey-multi-choice,1,116975,27,60edecb2a22d916d2ed4a6f9,60ef46c95a07abbd12a3aef1,60eeafb1590e2f2b86c77617,60ef46c95a07abbd12a3aef1,"{""Q0"":""Plans to achieve goals."",""Q1"":""By writing text.""}","[0,1]","""","""","""","""",""""
67,67,21,3,"[{""page_index"":0,""viewing_time"":9294}]",9294,instructions,2,126271,27,60edecb2a22d916d2ed4a6f9,60ef46c95a07abbd12a3aef1,60eeafb1590e2f2b86c77617,60ef46c95a07abbd12a3aef1,"""","""","""","""","""","""",""""
68,68,21,3,"""",517092,survey-text,3,643372,27,60edecb2a22d916d2ed4a6f9,60ef46c95a07abbd12a3aef1,60eeafb1590e2f2b86c77617,60ef46c95a07abbd12a3aef1,"{""Plan"":""make a large christmas tree outside of my house by gathering all the ingredients""}","""",test,Decorate the world's largest Christmas tree.,"""","""","generate, unconstrained"
69,69,21,3,"""",214097,survey-text,4,857473,27,60edecb2a22d916d2ed4a6f9,60ef46c95a07abbd12a3aef1,60eeafb1590e2f2b86c77617,60ef46c95a07abbd12a3aef1,"{""Plan"":""I will go to in a nearest forest to cut down a tree.""}","""",test,Cut down a tree.,"""","""","generate, unconstrained"
70,70,21,3,"""",166179,survey-text,5,1023663,27,60edecb2a22d916d2ed4a6f9,60ef46c95a07abbd12a3aef1,60eeafb1590e2f2b86c77617,60ef46c95a07abbd12a3aef1,"{""Plan"":""From a distance I will through a peace of meat to the lion. So when he go for the meat to eat, the plaque from the teeth of the lion will come out.""}","""",test,Remove plaque from the teeth of a lion.,"""","""","generate, unconstrained"
71,71,21,3,"""",91972,survey-text,6,1115640,27,60edecb2a22d916d2ed4a6f9,60ef46c95a07abbd12a3aef1,60eeafb1590e2f2b86c77617,60ef46c95a07abbd12a3aef1,"{""Plan"":""One of the first steps in how to build a bookshelf is choosing the wood. The type of plywood you pick affects the price, weight and durability of your finished product. Pine, birch and oak are three common woods used for building homemade bookshelves.""}","""",test,Build a bookshelf.,"""","""","generate, unconstrained"
72,72,21,3,"""",253722,survey-text,7,1369368,27,60edecb2a22d916d2ed4a6f9,60ef46c95a07abbd12a3aef1,60eeafb1590e2f2b86c77617,60ef46c95a07abbd12a3aef1,"{""Plan"":""a small ball will keep in front of it and hence it entertained""}","""",test,Keep a baby platupyus entertained.,"""","""","generate, unconstrained"
73,73,21,3,"""",134306,survey-text,8,1503680,27,60edecb2a22d916d2ed4a6f9,60ef46c95a07abbd12a3aef1,60eeafb1590e2f2b86c77617,60ef46c95a07abbd12a3aef1,"{""Plan"":""At first I will download an app in which I can translate my language into their language. This is how I can order food in a restaurant""}","""",test,"Order food in a restaurant, where you don't speak the native language.","""","""","generate, unconstrained"
74,74,21,3,"""",115056,survey-text,9,1618743,27,60edecb2a22d916d2ed4a6f9,60ef46c95a07abbd12a3aef1,60eeafb1590e2f2b86c77617,60ef46c95a07abbd12a3aef1,"{""Plan"":""I will keep a big rock there and thus my canoe will stop from falling down the waterfall.""}","""",test,Stop your canoe from falling down the waterfall.,"""","""","generate, unconstrained"
75,75,21,3,"[{""page_index"":0,""viewing_time"":2255},{""page_index"":1,""viewing_time"":13240}]",15495,instructions,10,1634238,27,60edecb2a22d916d2ed4a6f9,60ef46c95a07abbd12a3aef1,60eeafb1590e2f2b86c77617,60ef46c95a07abbd12a3aef1,"""","""","""","""","""","""",""""
76,76,21,3,"""",18339,survey-multi-choice,11,1652583,27,60edecb2a22d916d2ed4a6f9,60ef46c95a07abbd12a3aef1,60eeafb1590e2f2b86c77617,60ef46c95a07abbd12a3aef1,"{""Q0"":""How frequently you think people try to achieve each goal."",""Q1"":""By selecting an option from a multiple choice scale.""}","[0,1]","""","""","""","""",""""
77,77,21,3,"[{""page_index"":0,""viewing_time"":1622}]",1622,instructions,12,1654206,27,60edecb2a22d916d2ed4a6f9,60ef46c95a07abbd12a3aef1,60eeafb1590e2f2b86c77617,60ef46c95a07abbd12a3aef1,"""","""","""","""","""","""",""""
78,78,21,3,"""",37293,survey-likert,13,1691504,27,60edecb2a22d916d2ed4a6f9,60ef46c95a07abbd12a3aef1,60eeafb1590e2f2b86c77617,60ef46c95a07abbd12a3aef1,"{""freq"":2}",[0],test,"""","""","""",""""
79,79,21,3,"""",10022,survey-likert,14,1701527,27,60edecb2a22d916d2ed4a6f9,60ef46c95a07abbd12a3aef1,60eeafb1590e2f2b86c77617,60ef46c95a07abbd12a3aef1,"{""freq"":0}",[0],test,"""","""","""",""""
80,80,21,3,"""",6557,survey-likert,15,1708088,27,60edecb2a22d916d2ed4a6f9,60ef46c95a07abbd12a3aef1,60eeafb1590e2f2b86c77617,60ef46c95a07abbd12a3aef1,"{""freq"":4}",[0],test,"""","""","""",""""
81,81,21,3,"""",3381,survey-likert,16,1711472,27,60edecb2a22d916d2ed4a6f9,60ef46c95a07abbd12a3aef1,60eeafb1590e2f2b86c77617,60ef46c95a07abbd12a3aef1,"{""freq"":0}",[0],test,"""","""","""",""""
82,82,21,3,"""",4585,survey-likert,17,1716061,27,60edecb2a22d916d2ed4a6f9,60ef46c95a07abbd12a3aef1,60eeafb1590e2f2b86c77617,60ef46c95a07abbd12a3aef1,"{""freq"":5}",[0],test,"""","""","""",""""
83,83,21,3,"""",4056,survey-likert,18,1720119,27,60edecb2a22d916d2ed4a6f9,60ef46c95a07abbd12a3aef1,60eeafb1590e2f2b86c77617,60ef46c95a07abbd12a3aef1,"{""freq"":0}",[0],test,"""","""","""",""""
84,84,21,3,"""",4156,survey-likert,19,1724279,27,60edecb2a22d916d2ed4a6f9,60ef46c95a07abbd12a3aef1,60eeafb1590e2f2b86c77617,60ef46c95a07abbd12a3aef1,"{""freq"":6}",[0],test,"""","""","""",""""
85,85,21,3,"""",29172,survey-text,20,1753455,27,60edecb2a22d916d2ed4a6f9,60ef46c95a07abbd12a3aef1,60eeafb1590e2f2b86c77617,60ef46c95a07abbd12a3aef1,"{""Q0"":""10"",""Q1"":""10"",""Q2"":""10"",""Q3"":""10"",""Q4"":""}","""","""","""","""","""",""""
86,86,20,3,"[{""page_index"":0,""viewing_time"":121874.7000000003},{""page_index"":1,""viewing_time"":4957.500000000437},{""page_index"":2,""viewing_time"":13265.599999998813},{""page_index"":3,""viewing_time"":7562.5},{""page_index"":4,""viewing_time"":1296.0999999995693},{""page_index"":3,""viewing_time"":11916.800000002695},{""page_index"":4,""viewing_time"":7434.599999996863}]",168339,instructions,0,168354,18,60edecb2a22d916d2ed4a6f9,60ef46933d1d88d969d32c83,60ddca371dde6a6beec90298,60ef46933d1d88d969d32c83,"""","""","""","""","""","""",""""
87,87,20,3,"""",7630.4,survey-multi-choice,1,176088,18,60edecb2a22d916d2ed4a6f9,60ef46933d1d88d969d32c83,60ddca371dde6a6beec90298,60ef46933d1d88d969d32c83,"{""Q0"":""Plans to achieve goals."",""Q1"":""By writing text.""}","[0,1]","""","""","""","""",""""
88,88,20,3,"[{""page_index"":0,""viewing_time"":2310.199999999895}]",2312.5,instructions,2,178410,18,60edecb2a22d916d2ed4a6f9,60ef46933d1d88d969d32c83,60ddca371dde6a6beec90298,60ef46933d1d88d969d32c83,"""","""","""","""","""","""",""""
