,level_0,index,run_id,condition,view_history,rt,trial_type,trial_index,time_elapsed,internal_node_id,PROLIFIC_PID,STUDY_ID,SESSION_ID,subject_id,study_id,session_id,response,question_order,prompt,task,subj_id,plan,batch_idx,goal_type,recorded_at,ip,user_agent,device,browser,browser_version,platform,platform_version,source_code_version,rating
453,516,516,109,46,"""",22734.89999999851,survey-likert,36,986042,0.0-2.0-0.33,594ec90eca6e670001b2c184,61e05c6eb0cfe8c09374f8c6,61e08cb960fcc89581ec7841,594ec90eca6e670001b2c184,61e05c6eb0cfe8c09374f8c6,61e08cb960fcc89581ec7841,"{""humanness"":0}",[0],"If an apple falls from a tree, then it hits the ground. But suppose an apple falls from a tree, and then it does not hit the ground. However, the reason this happened was not that someone caught the apple, the apple fell onto a branch, the apple was sealed in a bag which got stuck in the tree, the apple landed in a basket, the apple landed in a hammock, or the apple landed on Isaac Newton's head.",rate_humanness,gpt-3,"This could have happened because the apple was actually a bowling ball. The person who dropped the apple was actually a bowling ball bowler. The person was practicing his bowling by throwing bowling balls from trees. The person was practicing his bowling by throwing bowling balls from trees, and one of the balls happened to be an apple. The person was practicing his bowling by throwing bowling balls from trees, and one of the balls happened to be an apple, and the ball landed on Isaac Newton's head.",45,all-constraints,2022-01-13 20:34:11,45.24.66.214,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.71 Safari/537.36",WebKit,Chrome,97.0.4692.71,Windows,10.0,ee06c26e3904ece436b305bb5259738c,0
537,608,608,11,23,"""",13693.19999999553,survey-likert,36,687367,0.0-2.0-0.33,60a9fee2eac2487bb03b9110,61e05c6eb0cfe8c09374f8c6,61e0674c9d7d6476cf292157,60a9fee2eac2487bb03b9110,61e05c6eb0cfe8c09374f8c6,61e0674c9d7d6476cf292157,"{""humanness"":0}",[0],"If the the gates in a zoo are closed, then the zoo animals do not escape. But suppose the gates in a zoo are closed, and then the animals do escape. However, the reason this happened was not that the animals climed over the gates.",rate_humanness,gpt-3,"This could have happened because the animals were not feeling well and were in their cages resting. When the earthquake occurred, the animals were so startled that they got up and started running around the zoo.",22,single-constraint,2022-01-13 17:54:36,69.242.229.246,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.110 Safari/537.36",Macintosh,Chrome,96.0.4664.110,OS X,10_15_7,ee06c26e3904ece436b305bb5259738c,0
718,809,809,113,56,"""",24582.00000000003,survey-likert,7,199477,0.0-2.0-0.4,60fcf6b8fcdfa822c55aaed7,61e05c6eb0cfe8c09374f8c6,61e08cbe42c7104dc53765f8,60fcf6b8fcdfa822c55aaed7,61e05c6eb0cfe8c09374f8c6,61e08cbe42c7104dc53765f8,"{""humanness"":0}",[0],"If a severe earthquake occurs near an office building, then the shelves in the office fall down. But suppose a severe earthquake occurs near an office building, and then the shelves in the office do not fall down. However, the reason this happened was not that the shelves were bolted to the ground, the shelves were extra sturdy, or the building was built to handle the shakes of an earthquake.",rate_humanness,gpt-3,This could have happened because the earthquake was caused by a giant snake that was hiding in the building. The snake shook the building and caused the shelves to fall down.,55,all-constraints,2022-01-13 20:34:25,68.46.50.73,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.2 Safari/605.1.15",Macintosh,Safari,15.2,OS X,10_15_7,ee06c26e3904ece436b305bb5259738c,0
723,814,814,113,56,"""",4749,survey-likert,12,232410,0.0-2.0-0.9,60fcf6b8fcdfa822c55aaed7,61e05c6eb0cfe8c09374f8c6,61e08cbe42c7104dc53765f8,60fcf6b8fcdfa822c55aaed7,61e05c6eb0cfe8c09374f8c6,61e08cbe42c7104dc53765f8,"{""humanness"":0}",[0],"If someone walks through a metal detector with a metal watch, then alarms go off. But suppose someone walks through a metal detector with a metal watch, and then alarms do not go off. However, the reason this happened was not that the metal detector was faulty, the metal detector can only detect certain kinds of metals, the watch had only tiny traces of metal that were undetectable, or the metal detector was unplugged.",rate_humanness,gpt-3,This could have happened because the metal detector was a magical metal detector that could only detect magical metals and detected the metal in the watch as magical metal.,55,all-constraints,2022-01-13 20:34:25,68.46.50.73,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.2 Safari/605.1.15",Macintosh,Safari,15.2,OS X,10_15_7,ee06c26e3904ece436b305bb5259738c,0
730,821,821,113,56,"""",8148,survey-likert,19,305099,0.0-2.0-0.16,60fcf6b8fcdfa822c55aaed7,61e05c6eb0cfe8c09374f8c6,61e08cbe42c7104dc53765f8,60fcf6b8fcdfa822c55aaed7,61e05c6eb0cfe8c09374f8c6,61e08cbe42c7104dc53765f8,"{""humanness"":0}",[0],"If a door is locked with a bolt, then it cannot be opened. But suppose a door is locked with a bolt, and then it is opened. However, the reason this happened was not that the lock was broken, the bolt was weak, there was a hole in the wall, the door was knocked down, the lock was cut, or that the screws holding the bolt in place became loose.",rate_humanness,gpt-3,This could have happened because the door was not locked because the door is actually a portal to another dimension.,55,all-constraints,2022-01-13 20:34:25,68.46.50.73,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.2 Safari/605.1.15",Macintosh,Safari,15.2,OS X,10_15_7,ee06c26e3904ece436b305bb5259738c,0
732,823,823,113,56,"""",6579.999999999942,survey-likert,21,322454,0.0-2.0-0.18,60fcf6b8fcdfa822c55aaed7,61e05c6eb0cfe8c09374f8c6,61e08cbe42c7104dc53765f8,60fcf6b8fcdfa822c55aaed7,61e05c6eb0cfe8c09374f8c6,61e08cbe42c7104dc53765f8,"{""humanness"":0}",[0],"If someone falls on the sidewalk, then they scrape your knee. But suppose someone falls on the sidewalk, and then they do not scrape their knee. However, the reason this happened was not that they are wearing knee pads, their pants protected them, the ground was icy so they slipped and landed backwards instead, they landed on their hands instead of their knees, or they did not hit the ground hard enough for a scrape.",rate_humanness,gpt-3,This could have happened because the person was a robot and was not affected by the fall.,55,all-constraints,2022-01-13 20:34:25,68.46.50.73,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.2 Safari/605.1.15",Macintosh,Safari,15.2,OS X,10_15_7,ee06c26e3904ece436b305bb5259738c,0
734,825,825,113,56,"""",5241.000000000058,survey-likert,23,347188,0.0-2.0-0.20,60fcf6b8fcdfa822c55aaed7,61e05c6eb0cfe8c09374f8c6,61e08cbe42c7104dc53765f8,60fcf6b8fcdfa822c55aaed7,61e05c6eb0cfe8c09374f8c6,61e08cbe42c7104dc53765f8,"{""humanness"":0}",[0],"If someone touches poison ivy, then they get a rash. But suppose touches poison ivy, and then they do not get a rash. However, the reason this happened was not that they were wearing gloves, they were immune, or they used preventative medical cream beforehand.",rate_humanness,gpt-3,This could have happened because the person touching the poison ivy was a ghost. Ghosts cannot get rashes.,55,all-constraints,2022-01-13 20:34:25,68.46.50.73,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.2 Safari/605.1.15",Macintosh,Safari,15.2,OS X,10_15_7,ee06c26e3904ece436b305bb5259738c,0
738,829,829,113,56,"""",4183,survey-likert,27,373171,0.0-2.0-0.24,60fcf6b8fcdfa822c55aaed7,61e05c6eb0cfe8c09374f8c6,61e08cbe42c7104dc53765f8,60fcf6b8fcdfa822c55aaed7,61e05c6eb0cfe8c09374f8c6,61e08cbe42c7104dc53765f8,"{""humanness"":0}",[0],"If rocks are thrown at a window, then the window breaks. But suppose rocks are thrown at a window, and then the window does not break. However, the reason this happened was not that the window was made of shatter-proof glass, the rocks were very small, or the rocks were not thrown hard enough.",rate_humanness,gpt-3,This could have happened because the window was magic and it could not be broken.,55,all-constraints,2022-01-13 20:34:25,68.46.50.73,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.2 Safari/605.1.15",Macintosh,Safari,15.2,OS X,10_15_7,ee06c26e3904ece436b305bb5259738c,0
741,832,832,113,56,"""",20651,survey-likert,30,413382,0.0-2.0-0.27,60fcf6b8fcdfa822c55aaed7,61e05c6eb0cfe8c09374f8c6,61e08cbe42c7104dc53765f8,60fcf6b8fcdfa822c55aaed7,61e05c6eb0cfe8c09374f8c6,61e08cbe42c7104dc53765f8,"{""humanness"":0}",[0],"If the weather gets hotter around a snowman in a backyard, then the snowman melts. But suppose the weather gets hotter around a snowman in a backyard, and then the snowman does not melt. However, the reason this happened was not that the snowman was made of plastic, the snowman was made of cotton balls, someone used a snowblower on the snowman, or the temperature didn't increase enough to melt the snow.",rate_humanness,gpt-3,This could have happened because the snowman is magic. The snowman is not melting because it is magic. Magic is not affected by the heat.,55,all-constraints,2022-01-13 20:34:25,68.46.50.73,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.2 Safari/605.1.15",Macintosh,Safari,15.2,OS X,10_15_7,ee06c26e3904ece436b305bb5259738c,0
743,834,834,113,56,"""",11211.999999999942,survey-likert,32,434499,0.0-2.0-0.29,60fcf6b8fcdfa822c55aaed7,61e05c6eb0cfe8c09374f8c6,61e08cbe42c7104dc53765f8,60fcf6b8fcdfa822c55aaed7,61e05c6eb0cfe8c09374f8c6,61e08cbe42c7104dc53765f8,"{""humanness"":0}",[0],"If a confetti cannon is fired, then it produces a loud noise. But suppose a confetti cannon is fired, and then it does not produce a loud noise. However, the reason this happened was not that the confetti cannon was defective, the cannon was jammed, there was not enough confetti in the cannon, or that the people were wearing ear plugs.",rate_humanness,gpt-3,"This could have happened because the confetti was replaced with a different material, the confetti was replaced with a different material, the confetti was replaced with a different material, the confetti was replaced with a different material, the confetti was replaced with a different material, the confetti was replaced with a different material, the confetti was replaced with a different material, the confetti was replaced with a different material, the confetti was replaced with a different material, the confetti was replaced with a different material, the confetti was replaced with a different material, the confetti was replaced with a different material, the confetti was replaced with a different material, the confetti was replaced with a different material, the confetti was replaced with a different material, the confetti was replaced with a different material, the confetti was replaced with a different material, the confetti was replaced with a different material, the confetti was replaced with a different material, the confetti was replaced with a different material, the confetti was replaced with a different material, the confetti was replaced with a different material, the confetti was replaced with a different material, the confetti was replaced with a different material, the confetti was replaced with a different material, the confetti was replaced with a different material, the confetti was replaced with a different material, the confetti was replaced with a different material, the confetti was replaced with a different material, the confetti was replaced with a different material,.",55,all-constraints,2022-01-13 20:34:25,68.46.50.73,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.2 Safari/605.1.15",Macintosh,Safari,15.2,OS X,10_15_7,ee06c26e3904ece436b305bb5259738c,0
744,835,835,113,56,"""",6175,survey-likert,33,440686,0.0-2.0-0.30,60fcf6b8fcdfa822c55aaed7,61e05c6eb0cfe8c09374f8c6,61e08cbe42c7104dc53765f8,60fcf6b8fcdfa822c55aaed7,61e05c6eb0cfe8c09374f8c6,61e08cbe42c7104dc53765f8,"{""humanness"":0}",[0],"If a fire in an apartment occurs, then the fire alarm goes off. But suppose a fire in an apartment occurs, and then the fire alarm do not goes off. However, the reason this happened was not that the batteries in the fire alarm were dead, there were no batteries, the smoke did not reach the sensor, the sensor was faulty, or that the wiring was faulty.",rate_humanness,gpt-3,This could have happened because the fire alarm did not go off because the fire was caused by a fire-breathing dragon. This fire-breathing dragon was not detected by the fire alarm because the dragon was invisible.,55,all-constraints,2022-01-13 20:34:25,68.46.50.73,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.2 Safari/605.1.15",Macintosh,Safari,15.2,OS X,10_15_7,ee06c26e3904ece436b305bb5259738c,0
748,839,839,113,56,"""",3768.000000000058,survey-likert,37,460519,0.0-2.0-0.34,60fcf6b8fcdfa822c55aaed7,61e05c6eb0cfe8c09374f8c6,61e08cbe42c7104dc53765f8,60fcf6b8fcdfa822c55aaed7,61e05c6eb0cfe8c09374f8c6,61e08cbe42c7104dc53765f8,"{""humanness"":0}",[0],"If a person breathes in wildfire smoke, then they cough. But suppose a person breathes in wildfire smoke, and then they do not cough. However, the reason this happened was not that they did not breathe in enough, they were wearing protective breathing equipment, they held their breath, they became unconscious, they took a cough suppressant, or they are less sensitive to smoke because they are a serial smoker.",rate_humanness,gpt-3,"This could have happened because the person was a vampire, and vampires are not affected by smoke.",55,all-constraints,2022-01-13 20:34:25,68.46.50.73,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.2 Safari/605.1.15",Macintosh,Safari,15.2,OS X,10_15_7,ee06c26e3904ece436b305bb5259738c,0
750,841,841,113,56,"""",7311,survey-likert,39,473529,0.0-2.0-0.36,60fcf6b8fcdfa822c55aaed7,61e05c6eb0cfe8c09374f8c6,61e08cbe42c7104dc53765f8,60fcf6b8fcdfa822c55aaed7,61e05c6eb0cfe8c09374f8c6,61e08cbe42c7104dc53765f8,"{""humanness"":0}",[0],"If a meteor hits the ground, then a crater is made. But suppose a meteor hits the ground, and then a crater is not made. However, the reason this happened was not that the meteor was tiny, there already was a hole in the ground, or the meteor hit the ground very lightly.",rate_humanness,gpt-3,This could have happened because the meteor was caught by a giant robot who was wearing a giant catcher's mitt.,55,all-constraints,2022-01-13 20:34:25,68.46.50.73,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.2 Safari/605.1.15",Macintosh,Safari,15.2,OS X,10_15_7,ee06c26e3904ece436b305bb5259738c,0
772,871,871,117,8,"""",14068.29999999702,survey-likert,23,417481,0.0-2.0-0.16,5bfd81fb2feab400014d9060,61e05c6eb0cfe8c09374f8c6,61e08cbeb345ff47fede25e9,5bfd81fb2feab400014d9060,61e05c6eb0cfe8c09374f8c6,61e08cbeb345ff47fede25e9,"{""humanness"":0}",[0],"If a light is unplugged, then the light cannot turn on. But suppose a light is unplugged, and then the light can turn on.",rate_humanness,gpt-3,This could have happened because the light was plugged into a switch that allowed it to turn on.,7,unconstrained,2022-01-13 20:37:43,199.204.33.27,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.4758.54 Safari/537.36",WebKit,Chrome,98.0.4758.54,Windows,10.0,ee06c26e3904ece436b305bb5259738c,0
777,876,876,117,8,"""",11164.39999999851,survey-likert,28,497731,0.0-2.0-0.21,5bfd81fb2feab400014d9060,61e05c6eb0cfe8c09374f8c6,61e08cbeb345ff47fede25e9,5bfd81fb2feab400014d9060,61e05c6eb0cfe8c09374f8c6,61e08cbeb345ff47fede25e9,"{""humanness"":0}",[0],"If a person breathes in wildfire smoke, then they cough. But suppose a person breathes in wildfire smoke, and then they do not cough.",rate_humanness,gpt-3,This could have happened because the person has a cold.,7,unconstrained,2022-01-13 20:37:43,199.204.33.27,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.4758.54 Safari/537.36",WebKit,Chrome,98.0.4758.54,Windows,10.0,ee06c26e3904ece436b305bb5259738c,0
778,877,877,117,8,"""",12052.10000000149,survey-likert,29,509785,0.0-2.0-0.22,5bfd81fb2feab400014d9060,61e05c6eb0cfe8c09374f8c6,61e08cbeb345ff47fede25e9,5bfd81fb2feab400014d9060,61e05c6eb0cfe8c09374f8c6,61e08cbeb345ff47fede25e9,"{""humanness"":0}",[0],"If a light is unplugged, then the light cannot turn on. But suppose a light is unplugged, and then the light can turn on.",rate_humanness,gpt-3,This could have happened because the bulb was not burned out and therefore the light can still turn on.,7,unconstrained,2022-01-13 20:37:43,199.204.33.27,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.4758.54 Safari/537.36",WebKit,Chrome,98.0.4758.54,Windows,10.0,ee06c26e3904ece436b305bb5259738c,0
820,923,923,115,50,"""",14030,survey-likert,25,304838,0.0-2.0-0.22,5e55d9d5bcdb1e5f55cca145,61e05c6eb0cfe8c09374f8c6,61e08cbc841c64d31ead8c99,5e55d9d5bcdb1e5f55cca145,61e05c6eb0cfe8c09374f8c6,61e08cbc841c64d31ead8c99,"{""humanness"":0}",[0],"If someone turns on a bathtub tap, then a bathtub fills with water. But suppose someone turns on a bathtub tap, and then the bathtub does not fill with water. However, the reason this happened was not that the person did not pay their water bill so the supply was turned off, there was a leaky water pip, or the bath drain is not plugged with a stopper.",rate_humanness,gpt-3,This could have happened because the bathtub was in a room with a very high ceiling. The bathtub did not fill because of the height of the water source.,49,all-constraints,2022-01-13 20:34:30,174.80.185.18,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:95.0) Gecko/20100101 Firefox/95.0,,Firefox,95.0,Ubuntu,,ee06c26e3904ece436b305bb5259738c,0
825,928,928,115,50,"""",7441,survey-likert,30,357231,0.0-2.0-0.27,5e55d9d5bcdb1e5f55cca145,61e05c6eb0cfe8c09374f8c6,61e08cbc841c64d31ead8c99,5e55d9d5bcdb1e5f55cca145,61e05c6eb0cfe8c09374f8c6,61e08cbc841c64d31ead8c99,"{""humanness"":0}",[0],"If a meteor hits the ground, then a crater is made. But suppose a meteor hits the ground, and then a crater is not made. However, the reason this happened was not that the meteor was tiny, there already was a hole in the ground, or the meteor hit the ground very lightly.",rate_humanness,gpt-3,This could have happened because a person took a hammer and chisel and chipped away at the meteor until it was small enough to fit inside a box.,49,all-constraints,2022-01-13 20:34:30,174.80.185.18,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:95.0) Gecko/20100101 Firefox/95.0,,Firefox,95.0,Ubuntu,,ee06c26e3904ece436b305bb5259738c,0
826,929,929,115,50,"""",7088,survey-likert,31,364327,0.0-2.0-0.28,5e55d9d5bcdb1e5f55cca145,61e05c6eb0cfe8c09374f8c6,61e08cbc841c64d31ead8c99,5e55d9d5bcdb1e5f55cca145,61e05c6eb0cfe8c09374f8c6,61e08cbc841c64d31ead8c99,"{""humanness"":0}",[0],"If the weather gets hotter around a snowman in a backyard, then the snowman melts. But suppose the weather gets hotter around a snowman in a backyard, and then the snowman does not melt. However, the reason this happened was not that the snowman was made of plastic, the snowman was made of cotton balls, someone used a snowblower on the snowman, or the temperature didn't increase enough to melt the snow.",rate_humanness,gpt-3,This could have happened because the snowman was made of ice and the weather was just warm enough to melt the snowman.,49,all-constraints,2022-01-13 20:34:30,174.80.185.18,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:95.0) Gecko/20100101 Firefox/95.0,,Firefox,95.0,Ubuntu,,ee06c26e3904ece436b305bb5259738c,0
