,level_0,index,run_id,condition,view_history,rt,trial_type,trial_index,time_elapsed,internal_node_id,subject_id,study_id,session_id,response,question_order,prompt,task,subj_id,plan,batch_idx,goal_type,recorded_at,ip,user_agent,device,browser,browser_version,platform,platform_version,source_code_version,PROLIFIC_PID,rating
141,209,209,13,1,"""",21835.900000002235,survey-likert,13,591676,0.0-2.0-0.6,"""","""","""","{""humanness"":0}",[0],"Goal: Cool down in a record-breaking heat wave, without using an air conditioner.",rate_humanness,gpt-3,I would take a walk in the shade and drink a lot of water. I would also take advantage of any ice or snow around to cool down.,0,constrained_single,2021-10-08 17:14:48,98.179.164.66,"Mozilla/5.0 (X11; CrOS x86_64 14092.77.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.107 Safari/537.36",WebKit,Chrome,93.0.4577.107,ChromeOS,14092.77.0,196ea1dc72c2cd118a529d877bb0ad65,98.179.164.66,0
143,211,211,13,1,"""",28481.599999997765,survey-likert,15,639912,0.0-2.0-0.8,"""","""","""","{""humanness"":0}",[0],"Goal: Cool down in a record-breaking heat wave, without using an air conditioner.",rate_humanness,gpt-3,I would find a way to make a fan. I would make a large fan out of a big sheet of paper. I would then tie a string to the top of the fan and then tie the other end to a tree branch. I would then place the fan in the windiest area I could find.,0,constrained_single,2021-10-08 17:14:48,98.179.164.66,"Mozilla/5.0 (X11; CrOS x86_64 14092.77.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.107 Safari/537.36",WebKit,Chrome,93.0.4577.107,ChromeOS,14092.77.0,196ea1dc72c2cd118a529d877bb0ad65,98.179.164.66,0
146,214,214,13,1,"""",10631.0,survey-likert,18,683919,0.0-2.0-0.11,"""","""","""","{""humanness"":0}",[0],"Goal: Build a bookshelf, without using wood.",rate_humanness,gpt-3,I would use a combination of metal and plastic. I would use a combination of metal and plastic. I would use a combination of metal and plastic. I would use a combination of metal and plastic. I would use a combination of metal and plastic. I would use a combination of metal and plastic. I would use a combination of metal and plastic. I would use a combination of metal and plastic. I would use a combination of metal and plastic. I would use a combination of metal and plastic.,0,constrained_single,2021-10-08 17:14:48,98.179.164.66,"Mozilla/5.0 (X11; CrOS x86_64 14092.77.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.107 Safari/537.36",WebKit,Chrome,93.0.4577.107,ChromeOS,14092.77.0,196ea1dc72c2cd118a529d877bb0ad65,98.179.164.66,0
148,216,216,13,1,"""",19354.400000002235,survey-likert,20,717830,0.0-2.0-0.13,"""","""","""","{""humanness"":0}",[0],"Goal: Build a bookshelf, without using wood.",rate_humanness,gpt-3,"I would have to use the same materials as wood, but I would have to make sure that they were strong enough to hold the weight of the books.",0,"""",2021-10-08 17:14:48,98.179.164.66,"Mozilla/5.0 (X11; CrOS x86_64 14092.77.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.107 Safari/537.36",WebKit,Chrome,93.0.4577.107,ChromeOS,14092.77.0,196ea1dc72c2cd118a529d877bb0ad65,98.179.164.66,0
149,217,217,13,1,"""",15377.100000001492,survey-likert,21,733216,0.0-2.0-0.14,"""","""","""","{""humanness"":0}",[0],"Goal: Create a safe landing for a falling skydiver, without using a net.",rate_humanness,gpt-3,I would find a long sturdy piece of wood. Then I would find a place to put it that would be sturdy. Then I would place the skydiver on the wood and have him/her jump off. The wood would be sturdy enough to catch the skydiver.,0,"""",2021-10-08 17:14:48,98.179.164.66,"Mozilla/5.0 (X11; CrOS x86_64 14092.77.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.107 Safari/537.36",WebKit,Chrome,93.0.4577.107,ChromeOS,14092.77.0,196ea1dc72c2cd118a529d877bb0ad65,98.179.164.66,0
150,218,218,13,1,"""",17262.5,survey-likert,22,750485,0.0-2.0-0.15,"""","""","""","{""humanness"":0}",[0],"Goal: Build a bookshelf, without using wood.",rate_humanness,gpt-3,I would use a metal frame and attach a piece of fabric to it. Then I would use a hot glue gun to glue the books to the fabric.,0,constrained_single,2021-10-08 17:14:48,98.179.164.66,"Mozilla/5.0 (X11; CrOS x86_64 14092.77.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.107 Safari/537.36",WebKit,Chrome,93.0.4577.107,ChromeOS,14092.77.0,196ea1dc72c2cd118a529d877bb0ad65,98.179.164.66,0
152,220,220,13,1,"""",14317.300000000745,survey-likert,24,783239,0.0-2.0-0.17,"""","""","""","{""humanness"":0}",[0],"Goal: Create a safe landing for a falling skydiver, without using a net.",rate_humanness,gpt-3,I would find the highest building in the area. Then I would find a way to get the skydiver to fall on the roof of the building. I would then have to find a way to get the skydiver to fall through the roof. I would have to make sure that the skydiver would not die from the fall.,0,constrained_single,2021-10-08 17:14:48,98.179.164.66,"Mozilla/5.0 (X11; CrOS x86_64 14092.77.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.107 Safari/537.36",WebKit,Chrome,93.0.4577.107,ChromeOS,14092.77.0,196ea1dc72c2cd118a529d877bb0ad65,98.179.164.66,0
157,225,225,13,1,"""",21500.20000000298,survey-likert,29,875418,0.0-2.0-0.22,"""","""","""","{""humanness"":0}",[0],"Goal: Create a safe landing for a falling skydiver, without using a net.",rate_humanness,gpt-3,I would create a safe landing for a falling skydiver by first getting the skydiver to land on a very soft surface. I would then use a very long rope to tie the skydiver to the ground. I would then use a very long rope to tie the skydiver to a very large tree.,0,"""",2021-10-08 17:14:48,98.179.164.66,"Mozilla/5.0 (X11; CrOS x86_64 14092.77.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.107 Safari/537.36",WebKit,Chrome,93.0.4577.107,ChromeOS,14092.77.0,196ea1dc72c2cd118a529d877bb0ad65,98.179.164.66,0
159,227,227,13,1,"""",12556.0,survey-likert,31,897363,0.0-2.0-0.24,"""","""","""","{""humanness"":0}",[0],"Goal: Create a safe landing for a falling skydiver, without using a net.",rate_humanness,gpt-3,I would find a big tree and tie the rope to the tree and the other end of the rope to the skydiver. Then I would tie the rope to my waist. The skydiver would jump and I would run up the tree.,0,constrained_single,2021-10-08 17:14:48,98.179.164.66,"Mozilla/5.0 (X11; CrOS x86_64 14092.77.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.107 Safari/537.36",WebKit,Chrome,93.0.4577.107,ChromeOS,14092.77.0,196ea1dc72c2cd118a529d877bb0ad65,98.179.164.66,0
163,231,231,13,1,"""",14042.0,survey-likert,35,964303,0.0-2.0-0.28,"""","""","""","{""humanness"":0}",[0],"Goal: Create a safe landing for a falling skydiver, without using a net.",rate_humanness,gpt-3,I would use a parachute to slow the skydiver's descent.,0,"""",2021-10-08 17:14:48,98.179.164.66,"Mozilla/5.0 (X11; CrOS x86_64 14092.77.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.107 Safari/537.36",WebKit,Chrome,93.0.4577.107,ChromeOS,14092.77.0,196ea1dc72c2cd118a529d877bb0ad65,98.179.164.66,0
168,236,236,13,1,"""",14695.399999998508,survey-likert,40,1054424,0.0-2.0-0.33,"""","""","""","{""humanness"":0}",[0],"Goal: Create a safe landing for a falling skydiver, without using a net.",rate_humanness,gpt-3,I would build a tree house and put a mattress in it.,0,constrained_single,2021-10-08 17:14:48,98.179.164.66,"Mozilla/5.0 (X11; CrOS x86_64 14092.77.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.107 Safari/537.36",WebKit,Chrome,93.0.4577.107,ChromeOS,14092.77.0,196ea1dc72c2cd118a529d877bb0ad65,98.179.164.66,0
170,238,238,13,1,"""",12911.200000002978,survey-likert,42,1085801,0.0-2.0-0.35,"""","""","""","{""humanness"":0}",[0],"Goal: Create a safe landing for a falling skydiver, without using a net.",rate_humanness,gpt-3,I would grab a boat and lower it down to the skydiver. I would tie the skydiver to the boat so he wouldn't fall in the water.,0,constrained_single,2021-10-08 17:14:48,98.179.164.66,"Mozilla/5.0 (X11; CrOS x86_64 14092.77.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.107 Safari/537.36",WebKit,Chrome,93.0.4577.107,ChromeOS,14092.77.0,196ea1dc72c2cd118a529d877bb0ad65,98.179.164.66,0
174,242,242,13,1,"""",8821.5,survey-likert,46,1155784,0.0-2.0-0.39,"""","""","""","{""humanness"":0}",[0],"Goal: Create a safe landing for a falling skydiver, without using a net.",rate_humanness,gpt-3,"I would drive my car to the landing area, and park it in a way that it can block the skydivers path.",0,constrained_single,2021-10-08 17:14:48,98.179.164.66,"Mozilla/5.0 (X11; CrOS x86_64 14092.77.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.107 Safari/537.36",WebKit,Chrome,93.0.4577.107,ChromeOS,14092.77.0,196ea1dc72c2cd118a529d877bb0ad65,98.179.164.66,0
180,252,252,2,1,"""",37852.19999992848,survey-likert,3,309105,0.0-2.0-0.0,"""","""","""","{""humanness"":0}",[0],"Goal: Create a safe landing for a falling skydiver, without using a net.",rate_humanness,gpt-3,I would find a long sturdy piece of wood. Then I would find a place to put it that would be sturdy. Then I would place the skydiver on the wood and have him/her jump off. The wood would be sturdy enough to catch the skydiver.,0,"""",2021-10-01 20:21:20,35.143.120.214,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.82 Safari/537.36",WebKit,Chrome,93.0.4577.82,Windows,10.0,1f1e178240ddf5f7eeaf33036ce9a299,35.143.120.214,0
188,260,260,2,1,"""",15635.799999952316,survey-likert,11,462610,0.0-2.0-0.8,"""","""","""","{""humanness"":0}",[0],"Goal: Build a bookshelf, without using wood.",rate_humanness,gpt-3,I would use a metal frame and attach a piece of fabric to it. Then I would use a hot glue gun to glue the books to the fabric.,0,constrained_single,2021-10-01 20:21:20,35.143.120.214,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.82 Safari/537.36",WebKit,Chrome,93.0.4577.82,Windows,10.0,1f1e178240ddf5f7eeaf33036ce9a299,35.143.120.214,0
196,268,268,2,1,"""",12643.300000071526,survey-likert,19,558041,0.0-2.0-0.16,"""","""","""","{""humanness"":0}",[0],"Goal: Build a bookshelf, without using wood.",rate_humanness,gpt-3,I would use a combination of metal and plastic. I would use a combination of metal and plastic. I would use a combination of metal and plastic. I would use a combination of metal and plastic. I would use a combination of metal and plastic. I would use a combination of metal and plastic. I would use a combination of metal and plastic. I would use a combination of metal and plastic. I would use a combination of metal and plastic. I would use a combination of metal and plastic.,0,constrained_single,2021-10-01 20:21:20,35.143.120.214,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.82 Safari/537.36",WebKit,Chrome,93.0.4577.82,Windows,10.0,1f1e178240ddf5f7eeaf33036ce9a299,35.143.120.214,0
261,394,394,8,1,"""",26010.0,survey-likert,39,1575231,0.0-2.0-0.36,"""","""","""","{""humanness"":0}",[0],"Goal: Cool down in a record-breaking heat wave, without using an air conditioner.",rate_humanness,gpt-3,"I would go to a pool, or jump in a lake.",0,constrained_single,2021-10-01 21:27:07,24.158.131.37,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:92.0) Gecko/20100101 Firefox/92.0,,Firefox,92.0,Windows,10.0,1f1e178240ddf5f7eeaf33036ce9a299,24.158.131.37,0
292,578,635,14,2,"""",11496.300000000745,survey-likert,25,693376,0.0-2.0-0.22,"""","""","""","{""humanness"":0}",[0],"Goal: Cool down in a record-breaking heat wave, without using an air conditioner.",rate_humanness,gpt-3,I would get a lot of fans and blow the air all around me. I would also get a lot of ice and put it in a bucket of water and then put the bucket of water in front of the fan. I would also get a lot of ice and put it in a bucket of water and then put the bucket of water in front of the fan. I would also get a lot of ice and put it in a bucket of water and then put the bucket of water in front of the fan. I would also get a lot of ice and put it in a bucket of water and then put the bucket of water in front of the fan. I would also get a lot of ice and put it in a bucket of water and then put the bucket of water in front of the fan. I would also get a lot of ice and put it in a bucket of water and then put the bucket of water in front of the fan. I would also get a lot of ice and put it in a bucket of water and then put the bucket of water in front of the fan. I would also get a lot of ice and put it in a bucket of water and then put the bucket of water in front of the fan. I would also get a lot of ice and put it in a bucket of water and then put the bucket of water in front of the fan.,1,constrained_single,2021-10-13 10:46:45,74.132.108.137,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36",WebKit,Chrome,94.0.4606.81,Windows,10.0,196ea1dc72c2cd118a529d877bb0ad65,74.132.108.137,0
302,588,645,14,2,"""",7599.89999999851,survey-likert,35,793594,0.0-2.0-0.32,"""","""","""","{""humanness"":0}",[0],"Goal: Cool down in a record-breaking heat wave, without using an air conditioner.",rate_humanness,gpt-3,I would find a way to get in contact with the electric company. I would ask them to shut off my power for a time. I would then open the windows and turn on the fans. I would then turn on the fans that are blowing into the house. I would then open the windows and turn on the fans that are blowing out of the house. I would then turn on the fans that are blowing out of the house and open the windows and turn on the fans that are blowing into the house. I would then open the windows and turn on the fans that are blowing out of the house and turn on the fans that are blowing into the house.,1,constrained_single,2021-10-13 10:46:45,74.132.108.137,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36",WebKit,Chrome,94.0.4606.81,Windows,10.0,196ea1dc72c2cd118a529d877bb0ad65,74.132.108.137,0
