,index,Unnamed: 0,run_id,condition,view_history,rt,trial_type,trial_index,time_elapsed,PROLIFIC_PID,STUDY_ID,SESSION_ID,subject_id,session_id,response,question_order,phase,prompt,task,constraint
10,12,12,1,2,"""",12738.8,survey-multi-choice,11,1571285,73,6108ba2774a08a10c085bb41,610ac721e81f832357049a5e,61083f623522116ea15fdc05,610ac721e81f832357049a5e,"{""Q0"":""How frequently you think people try to achieve each goal."",""Q1"":""By selecting an option from a multiple choice scale.""}","[0,1]","""","""","""",""""
11,13,13,1,2,"[{""page_index"":0,""viewing_time"":1433.2000000001863}]",1434,instructions,12,1572732,73,6108ba2774a08a10c085bb41,610ac721e81f832357049a5e,61083f623522116ea15fdc05,610ac721e81f832357049a5e,"""","""","""","""","""",""""
12,14,14,1,2,"""",11281.2,survey-likert,13,1584023,73,6108ba2774a08a10c085bb41,610ac721e81f832357049a5e,61083f623522116ea15fdc05,610ac721e81f832357049a5e,"{""freq"":4}",[0],"""",Help your local town mayor win re-election.,rate plans,"without using billboards, sporting events, fundraisers, a local chamber of commerce, small businesses, social media, a website, signs, rallies, flyers, or phones"
13,15,15,1,2,"""",17025.7,survey-likert,14,1601065,73,6108ba2774a08a10c085bb41,610ac721e81f832357049a5e,61083f623522116ea15fdc05,610ac721e81f832357049a5e,"{""freq"":2}",[0],"""",Take your dog for a walk.,rate plans,"without using a leash, a collar, plastic bags, water, socks, shoes, or athleisure"
14,16,16,1,2,"""",7900.8,survey-likert,15,1608988,73,6108ba2774a08a10c085bb41,610ac721e81f832357049a5e,61083f623522116ea15fdc05,610ac721e81f832357049a5e,"{""freq"":4}",[0],"""",Play baseball with your friends.,rate plans,"without using a bat, a baseball, gloves, a field, or markers"
15,17,17,1,2,"""",8891.6,survey-likert,16,1617895,73,6108ba2774a08a10c085bb41,610ac721e81f832357049a5e,61083f623522116ea15fdc05,610ac721e81f832357049a5e,"{""freq"":4}",[0],"""",Make a pair of new shoes.,rate plans,"without using leather, fabric, shoe laces, canvas, a guidebook, or a cobbler"
16,18,18,1,2,"""",21818.2,survey-likert,17,1639743,73,6108ba2774a08a10c085bb41,610ac721e81f832357049a5e,61083f623522116ea15fdc05,610ac721e81f832357049a5e,"{""freq"":5}",[0],"""",Steal the championship trophy from behind your school's award case.,rate plans,"without using a hammer, a sledgehammer, a mask, spray foam, a backpack, a large bag, or another person"
17,19,19,1,2,"""",9421.8,survey-likert,18,1649172,73,6108ba2774a08a10c085bb41,610ac721e81f832357049a5e,61083f623522116ea15fdc05,610ac721e81f832357049a5e,"{""freq"":2}",[0],"""",Cool down in a record-breaking heat wave.,rate plans,"without using an air conditioner, fans, washclothes, cold water, a bathtub, ice cubes, ice cream, popsicles, bottled water, or a deep freezer"
18,20,20,1,2,"""",7548,survey-likert,19,1656740,73,6108ba2774a08a10c085bb41,610ac721e81f832357049a5e,61083f623522116ea15fdc05,610ac721e81f832357049a5e,"{""freq"":5}",[0],"""",Get your sofa onto the roof of your house.,rate plans,"without using a pulley, a Genie lift, a protective plastic layer, a ladder, or a crane"
19,21,21,1,2,"""",91627.1,survey-text,20,1748386,73,6108ba2774a08a10c085bb41,610ac721e81f832357049a5e,61083f623522116ea15fdc05,610ac721e81f832357049a5e,"{""Q0"":""10"",""Q1"":""5"",""Q2"":""7"",""Q3"":""6"",""Q4"":""I tried to give fairly creative answers but, occasionally, I would type out an entire scenario only to realize it utilized one or more of the banned objects in the prompt. I suppose that proves the prompts were more difficult/impossible than I initially realized.""}","""","""","""","""",""""
20,22,22,12,3,"[{""page_index"":0,""viewing_time"":10364.10000000149},{""page_index"":1,""viewing_time"":8471.89999999851},{""page_index"":2,""viewing_time"":17447.79999999702},{""page_index"":3,""viewing_time"":11122.90000000596},{""page_index"":4,""viewing_time"":1510.5}]",48918.2,instructions,0,48926,80,6108ba2774a08a10c085bb41,610ac764362625e069ce2791,610988d4f729fb154a27a6c3,610ac764362625e069ce2791,"""","""","""","""","""",""""
21,23,23,12,3,"""",5889.1,survey-multi-choice,1,54822,80,6108ba2774a08a10c085bb41,610ac764362625e069ce2791,610988d4f729fb154a27a6c3,610ac764362625e069ce2791,"{""Q0"":""Plans to achieve goals."",""Q1"":""By writing text.""}","[0,1]","""","""","""",""""
22,24,24,12,3,"[{""page_index"":0,""viewing_time"":1265.7000000029802}]",1266.2,instructions,2,56093,80,6108ba2774a08a10c085bb41,610ac764362625e069ce2791,610988d4f729fb154a27a6c3,610ac764362625e069ce2791,"""","""","""","""","""",""""
23,25,25,12,3,"""",51965.8,survey-text,3,108070,80,6108ba2774a08a10c085bb41,610ac764362625e069ce2791,610988d4f729fb154a27a6c3,610ac764362625e069ce2791,"{""Plan"":""Research as much as possible about how to befriend a lion, then spend as much time as possible with said lion before actually attempting to remove the plaque.""}","""",test,Remove plaque from the teeth of a lion.,generate plans,"without using a tranquilizer, meat, a sleeping drug, or animal specialists"
24,26,26,12,3,"""",110235.7,survey-text,4,218312,80,6108ba2774a08a10c085bb41,610ac764362625e069ce2791,610988d4f729fb154a27a6c3,610ac764362625e069ce2791,"{""Plan"":""I guess you could use strips of a sturdy material that isn't wood and use some sort of carpet tape to piece the material together. Also, you didn't say that the bookshelf can't be virtual. So maybe just open up Ibooks or something lol""}","""",test,Build a bookshelf.,generate plans,"without using wood, planks, nails, gum, or books"
25,27,27,12,3,"""",46092.1,survey-text,5,264409,80,6108ba2774a08a10c085bb41,610ac764362625e069ce2791,610988d4f729fb154a27a6c3,610ac764362625e069ce2791,"{""Plan"":""I know nothing about the platupyus, but maybe try chasing it around like a dog. see if it gets excited?""}","""",test,Keep a baby platupyus entertained.,generate plans,"without using a ball, an aquarium, plastic fish, or a clown"
26,28,28,12,3,"""",80274.5,survey-text,6,344690,80,6108ba2774a08a10c085bb41,610ac764362625e069ce2791,610988d4f729fb154a27a6c3,610ac764362625e069ce2791,"{""Plan"":""I'd probably just go full on weird-o and grab a fork in between my elbows and use that to point at the item on the menu""}","""",test,"Order food in a restaurant, where you don't speak the native language.",generate plans,"without using a translator app, a human translator, your fingers, or sign language"
27,29,29,12,3,"""",52956.5,survey-text,7,397654,80,6108ba2774a08a10c085bb41,610ac764362625e069ce2791,610988d4f729fb154a27a6c3,610ac764362625e069ce2791,"{""Plan"":""I'm a big guy, so I would use my body weight and pretend my arm is a paddle""}","""",test,Stop your canoe from falling down the waterfall.,generate plans,"without using a paddle, a rock, or a rope"
28,30,30,12,3,"""",40622.3,survey-text,8,438281,80,6108ba2774a08a10c085bb41,610ac764362625e069ce2791,610988d4f729fb154a27a6c3,610ac764362625e069ce2791,"{""Plan"":""I would use a drill, which would eventually work after several passes in several different areas.""}","""",test,Cut down a tree.,generate plans,"without using a chainsaw, an axe, or a lorry"
29,31,31,12,3,"""",47300.6,survey-text,9,485588,80,6108ba2774a08a10c085bb41,610ac764362625e069ce2791,610988d4f729fb154a27a6c3,610ac764362625e069ce2791,"{""Plan"":""I would decorate it with any random crap I could find that could be thought of as cute""}","""",test,Decorate the world's largest Christmas tree.,generate plans,"without using lights, Christmas decorations, or fake leaves"
30,32,32,12,3,"[{""page_index"":0,""viewing_time"":1541.5},{""page_index"":1,""viewing_time"":12285.89999999851}]",13827.7,instructions,10,499417,80,6108ba2774a08a10c085bb41,610ac764362625e069ce2791,610988d4f729fb154a27a6c3,610ac764362625e069ce2791,"""","""","""","""","""",""""
31,33,33,12,3,"""",5521,survey-multi-choice,11,504942,80,6108ba2774a08a10c085bb41,610ac764362625e069ce2791,610988d4f729fb154a27a6c3,610ac764362625e069ce2791,"{""Q0"":""How frequently you think people try to achieve each goal."",""Q1"":""By selecting an option from a multiple choice scale.""}","[0,1]","""","""","""",""""
32,34,34,12,3,"[{""page_index"":0,""viewing_time"":1275.7999999970198}]",1276.2,instructions,12,506222,80,6108ba2774a08a10c085bb41,610ac764362625e069ce2791,610988d4f729fb154a27a6c3,610ac764362625e069ce2791,"""","""","""","""","""",""""
33,35,35,12,3,"""",11501.8,survey-likert,13,517728,80,6108ba2774a08a10c085bb41,610ac764362625e069ce2791,610988d4f729fb154a27a6c3,610ac764362625e069ce2791,"{""freq"":5}",[0],"""",Remove plaque from the teeth of a lion.,rate plans,"without using a tranquilizer, meat, a sleeping drug, or animal specialists"
34,36,36,12,3,"""",11653.3,survey-likert,14,529387,80,6108ba2774a08a10c085bb41,610ac764362625e069ce2791,610988d4f729fb154a27a6c3,610ac764362625e069ce2791,"{""freq"":3}",[0],"""",Build a bookshelf.,rate plans,"without using wood, planks, nails, gum, or books"
35,37,37,12,3,"""",10602.7,survey-likert,15,539998,80,6108ba2774a08a10c085bb41,610ac764362625e069ce2791,610988d4f729fb154a27a6c3,610ac764362625e069ce2791,"{""freq"":4}",[0],"""",Keep a baby platupyus entertained.,rate plans,"without using a ball, an aquarium, plastic fish, or a clown"
36,38,38,12,3,"""",5460,survey-likert,16,545463,80,6108ba2774a08a10c085bb41,610ac764362625e069ce2791,610988d4f729fb154a27a6c3,610ac764362625e069ce2791,"{""freq"":4}",[0],"""","Order food in a restaurant, where you don't speak the native language.",rate plans,"without using a translator app, a human translator, your fingers, or sign language"
37,39,39,12,3,"""",6827.1,survey-likert,17,552297,80,6108ba2774a08a10c085bb41,610ac764362625e069ce2791,610988d4f729fb154a27a6c3,610ac764362625e069ce2791,"{""freq"":3}",[0],"""",Stop your canoe from falling down the waterfall.,rate plans,"without using a paddle, a rock, or a rope"
38,40,40,12,3,"""",8482.6,survey-likert,18,560785,80,6108ba2774a08a10c085bb41,610ac764362625e069ce2791,610988d4f729fb154a27a6c3,610ac764362625e069ce2791,"{""freq"":3}",[0],"""",Cut down a tree.,rate plans,"without using a chainsaw, an axe, or a lorry"
39,41,41,12,3,"""",3601.6,survey-likert,19,564395,80,6108ba2774a08a10c085bb41,610ac764362625e069ce2791,610988d4f729fb154a27a6c3,610ac764362625e069ce2791,"{""freq"":3}",[0],"""",Decorate the world's largest Christmas tree.,rate plans,"without using lights, Christmas decorations, or fake leaves"
40,42,42,12,3,"""",19897.7,survey-text,20,584303,80,6108ba2774a08a10c085bb41,610ac764362625e069ce2791,610988d4f729fb154a27a6c3,610ac764362625e069ce2791,"{""Q0"":""10"",""Q1"":""10"",""Q2"":""5"",""Q3"":""4"",""Q4"":""}","""","""","""","""",""""
41,66,66,13,2,"[{""page_index"":0,""viewing_time"":3334.800000011921},{""page_index"":1,""viewing_time"":9364.799999952316},{""page_index"":2,""viewing_time"":3176.2000000476837},{""page_index"":3,""viewing_time"":9843.299999952316},{""page_index"":4,""viewing_time"":2399.400000035763}]",28119.1,instructions,0,28114,75,6108ba2774a08a10c085bb41,610ac769145e9db29dea38e3,6108630665c17a0512c95591,610ac769145e9db29dea38e3,"""","""","""","""","""",""""
42,67,67,13,2,"""",6790.3,survey-multi-choice,1,34906,75,6108ba2774a08a10c085bb41,610ac769145e9db29dea38e3,6108630665c17a0512c95591,610ac769145e9db29dea38e3,"{""Q0"":""Plans to achieve goals."",""Q1"":""By writing text.""}","[0,1]","""","""","""",""""
43,68,68,13,2,"[{""page_index"":0,""viewing_time"":1305.300000011921}]",1305.5,instructions,2,36213,75,6108ba2774a08a10c085bb41,610ac769145e9db29dea38e3,6108630665c17a0512c95591,610ac769145e9db29dea38e3,"""","""","""","""","""",""""
44,73,73,13,2,"""",280273.3,survey-text,5,1171213,75,6108ba2774a08a10c085bb41,610ac769145e9db29dea38e3,6108630665c17a0512c95591,610ac769145e9db29dea38e3,"{""Plan"":""Learn to pick locks by watching online videos. Also be aware of the trash pickup schedule at the school.  Pull the fire alarm to evacuate the building, pick the lock to the case, and escape by putting the trophy in a dumpster and return to pick up after hours when you will not be seen.""}","""",test,Steal the championship trophy from behind your school's award case.,generate plans,"without using a hammer, a sledgehammer, a mask, spray foam, a backpack, a large bag, or another person"
45,74,74,13,2,"""",345205.5,survey-text,6,1516411,75,6108ba2774a08a10c085bb41,610ac769145e9db29dea38e3,6108630665c17a0512c95591,610ac769145e9db29dea38e3,"{""Plan"":""use scissors to cut a sole out of rubber material the width and length of you foot.  cut a sock in a straight line from the top front of the ankle to the toe and lay flat over the rubber. Sew the sock into the rubber to create a footbed and cut off the excess.  Using rubber lacing, weave a strap that is long enough for to cross the shoe at the base of the toes and again at the thickest point of the foot when in the shoe.  Sew these straps into the rubber base.   ""}","""",test,Make a pair of new shoes.,generate plans,"without using leather, fabric, shoe laces, canvas, a guidebook, or a cobbler"
46,75,75,13,2,"""",400036.8,survey-text,7,1916465,75,6108ba2774a08a10c085bb41,610ac769145e9db29dea38e3,6108630665c17a0512c95591,610ac769145e9db29dea38e3,"{""Plan"":""Gather 26 of your closest friends and request they each bring several cinder blocks. Additionally gather bungee cords to wrap around the couch at as many points to lift it straight without tipping out. Create a set of stairs with the cinder blocks part way to the roof, at least high enough for people to climb up. Then have half of the group climb on the roof and half on the ground with the couch.  Have the first group bring the couch up the stairs, and then lift above their heads to the group on the roof.  The group on the roof will reach down and grab the bungee cords wrapped around the couch and use them to lift it up to the roof""}","""",test,Get your sofa onto the roof of your house.,generate plans,"without using a pulley, a Genie lift, a protective plastic layer, a ladder, or a crane"
47,76,76,13,2,"""",182409.8,survey-text,8,2098884,75,6108ba2774a08a10c085bb41,610ac769145e9db29dea38e3,6108630665c17a0512c95591,610ac769145e9db29dea38e3,"{""Plan"":""place dog on back end of treadmill at 0 speed and place treats on the front end so he will have to walk to get them.  Repeat several times.  Slowly repeat with increasing speed.  0.5mph, 1mph, 1.5mph until dog is understanding the concept.  Then set the treadmill speed of choice with the dog and sit on the floor in front of the treadmill and feed occasional treats to keep the dog interested\n""}","""",test,Take your dog for a walk.,generate plans,"without using a leash, a collar, plastic bags, water, socks, shoes, or athleisure"
48,77,77,13,2,"""",124781.2,survey-text,9,2223673,75,6108ba2774a08a10c085bb41,610ac769145e9db29dea38e3,6108630665c17a0512c95591,610ac769145e9db29dea38e3,"{""Plan"":""use a dehumidifier in the home to increase evaporation from your skin to cool down.  ""}","""",test,Cool down in a record-breaking heat wave.,generate plans,"without using an air conditioner, fans, washclothes, cold water, a bathtub, ice cubes, ice cream, popsicles, bottled water, or a deep freezer"
49,78,78,13,2,"[{""page_index"":0,""viewing_time"":2047.5999999642372},{""page_index"":1,""viewing_time"":8851.699999988079}]",10900.7,instructions,10,2234575,75,6108ba2774a08a10c085bb41,610ac769145e9db29dea38e3,6108630665c17a0512c95591,610ac769145e9db29dea38e3,"""","""","""","""","""",""""
50,79,79,13,2,"""",8588.8,survey-multi-choice,11,2243168,75,6108ba2774a08a10c085bb41,610ac769145e9db29dea38e3,6108630665c17a0512c95591,610ac769145e9db29dea38e3,"{""Q0"":""How frequently you think people try to achieve each goal."",""Q1"":""By selecting an option from a multiple choice scale.""}","[0,1]","""","""","""",""""
51,80,80,13,2,"[{""page_index"":0,""viewing_time"":1651.699999988079}]",1652.4,instructions,12,2244822,75,6108ba2774a08a10c085bb41,610ac769145e9db29dea38e3,6108630665c17a0512c95591,610ac769145e9db29dea38e3,"""","""","""","""","""",""""
52,81,81,13,2,"""",26556.6,survey-likert,13,2271383,75,6108ba2774a08a10c085bb41,610ac769145e9db29dea38e3,6108630665c17a0512c95591,610ac769145e9db29dea38e3,"{""freq"":2}",[0],"""",Play baseball with your friends.,rate plans,"without using a bat, a baseball, gloves, a field, or markers"
53,82,82,13,2,"""",19328,survey-likert,14,2290714,75,6108ba2774a08a10c085bb41,610ac769145e9db29dea38e3,6108630665c17a0512c95591,610ac769145e9db29dea38e3,"{""freq"":3}",[0],"""",Help your local town mayor win re-election.,rate plans,"without using billboards, sporting events, fundraisers, a local chamber of commerce, small businesses, social media, a website, signs, rallies, flyers, or phones"
54,83,83,13,2,"""",13135.9,survey-likert,15,2303854,75,6108ba2774a08a10c085bb41,610ac769145e9db29dea38e3,6108630665c17a0512c95591,610ac769145e9db29dea38e3,"{""freq"":3}",[0],"""",Steal the championship trophy from behind your school's award case.,rate plans,"without using a hammer, a sledgehammer, a mask, spray foam, a backpack, a large bag, or another person"
55,84,84,13,2,"""",15747.3,survey-likert,16,2319604,75,6108ba2774a08a10c085bb41,610ac769145e9db29dea38e3,6108630665c17a0512c95591,610ac769145e9db29dea38e3,"{""freq"":3}",[0],"""",Make a pair of new shoes.,rate plans,"without using leather, fabric, shoe laces, canvas, a guidebook, or a cobbler"
56,85,85,13,2,"""",8727.7,survey-likert,17,2328335,75,6108ba2774a08a10c085bb41,610ac769145e9db29dea38e3,6108630665c17a0512c95591,610ac769145e9db29dea38e3,"{""freq"":4}",[0],"""",Get your sofa onto the roof of your house.,rate plans,"without using a pulley, a Genie lift, a protective plastic layer, a ladder, or a crane"
57,86,86,13,2,"""",6973.7,survey-likert,18,2335312,75,6108ba2774a08a10c085bb41,610ac769145e9db29dea38e3,6108630665c17a0512c95591,610ac769145e9db29dea38e3,"{""freq"":3}",[0],"""",Take your dog for a walk.,rate plans,"without using a leash, a collar, plastic bags, water, socks, shoes, or athleisure"
58,87,87,13,2,"""",9094.1,survey-likert,19,2344410,75,6108ba2774a08a10c085bb41,610ac769145e9db29dea38e3,6108630665c17a0512c95591,610ac769145e9db29dea38e3,"{""freq"":3}",[0],"""",Cool down in a record-breaking heat wave.,rate plans,"without using an air conditioner, fans, washclothes, cold water, a bathtub, ice cubes, ice cream, popsicles, bottled water, or a deep freezer"
59,88,88,13,2,"""",62738.1,survey-text,20,2407135,75,6108ba2774a08a10c085bb41,610ac769145e9db29dea38e3,6108630665c17a0512c95591,610ac769145e9db29dea38e3,"{""Q0"":""9"",""Q1"":""5"",""Q2"":""5"",""Q3"":""2"",""Q4"":""For phase two, I wasn't sure if you meant globally or locally.""}","""","""","""","""",""""
60,89,89,17,4,"[{""page_index"":0,""viewing_time"":10220.09999999404},{""page_index"":1,""viewing_time"":10135.600000023842},{""page_index"":2,""viewing_time"":8280},{""page_index"":3,""viewing_time"":6840.0999999940395},{""page_index"":4,""viewing_time"":2063.7999999821186}]",37540.3,instructions,0,37547,70,6108ba2774a08a10c085bb41,610ac7706522b982dba7e4e6,61080e770015049d96187e01,610ac7706522b982dba7e4e6,"""","""","""","""","""",""""
61,90,90,17,4,"""",10027.3,survey-multi-choice,1,47579,70,6108ba2774a08a10c085bb41,610ac7706522b982dba7e4e6,61080e770015049d96187e01,610ac7706522b982dba7e4e6,"{""Q0"":""Plans to achieve goals."",""Q1"":""By writing text.""}","[0,1]","""","""","""",""""
62,91,91,17,4,"[{""page_index"":0,""viewing_time"":1669.7000000178814}]",1669.9,instructions,2,49250,70,6108ba2774a08a10c085bb41,610ac7706522b982dba7e4e6,61080e770015049d96187e01,610ac7706522b982dba7e4e6,"""","""","""","""","""",""""
63,92,92,17,4,"""",338560.8,survey-text,3,387819,70,6108ba2774a08a10c085bb41,610ac7706522b982dba7e4e6,61080e770015049d96187e01,610ac7706522b982dba7e4e6,"{""Plan"":""Using wind forecasts, speed of drop and direction hopefully we'll be able to narrow down a general location of where the skydiver will land. If possible, direct the skydiver to land in an area that is flat and relatively clear. The skydiver should spread out their arms and legs as much as possible to create some air resistance before help gets there. Once we know where the skydiver is landing, I suggest we use an inflatable cushion such as the ones used in fires, or emergency airplane landings. This will provide some cushioning for the skydiver, and keep the damage to a minimum.""}","""",test,Create a safe landing for a falling skydiver.,generate plans,"without using a net, drones, a safety flag, or a parachute"
64,93,93,17,4,"""",151493.3,survey-text,4,539315,70,6108ba2774a08a10c085bb41,610ac7706522b982dba7e4e6,61080e770015049d96187e01,610ac7706522b982dba7e4e6,"{""Plan"":""One way to do this, depending on the type of shark, could be to tag each of the sharks that live around the coast. This may be done by sedating the sharks first and then applying a tag (ideally without hurting the animal). Overtime, this will hopefully allow us to get an estimate of how many sharks live in the cove.""}","""",test,Find out how many sharks live in a cove off a nearby coast.,generate plans,"without using bait, an underwater camera, a submarine, a shark tracking app, red lines, or a danger-zone notice board"
65,94,94,17,4,"""",135956.7,survey-text,5,675275,70,6108ba2774a08a10c085bb41,610ac7706522b982dba7e4e6,61080e770015049d96187e01,610ac7706522b982dba7e4e6,"{""Plan"":""The easiest way to do this would be to build a fort on land that can survive the drop and conditions in water. Depending on how big the fort is, you can either break it into sections and assemble in the water, or use a boat to drop the fort into the water. Since it is easier to lift heavy objects in water there may be some leniency in constructing the fort. This would also depend on how deep underwater the fort must be. ""}","""",test,Make a fort underwater.,generate plans,"without using an oxygen tank, masks, swimming goggles, concrete, a miliary ship, a crane, a marine biologist, or a building engineer"
66,95,95,17,4,"""",154285.9,survey-text,6,829563,70,6108ba2774a08a10c085bb41,610ac7706522b982dba7e4e6,61080e770015049d96187e01,610ac7706522b982dba7e4e6,"{""Plan"":""I would buy a vitamin D lamp to mimic the attributes of the sun. Soil and fertilizer can be substituted using left over vegetables or compostables. Watermelon, tomatoes or other water heavy fruit could also provide enough moisture for the plant. To prevent herbicides, you can use vinegar. ""}","""",test,Keep the plants in your garden alive.,generate plans,"without using water, sun, a notebook, herbicides, or an umbrella"
67,96,96,17,4,"""",108756.6,survey-text,7,938323,70,6108ba2774a08a10c085bb41,610ac7706522b982dba7e4e6,61080e770015049d96187e01,610ac7706522b982dba7e4e6,"{""Plan"":""Using a paper towel, wipe all the extra left overs and sauce remnants off of the dishes. You can also use your fingers or a spoon to pick off the pieces that are stuck on the dish. To remove oil, you can use rubbing alcohol. ""}","""",test,Clean the dirty dishes.,generate plans,"without using soap, water, a tub, sanitizer, a sponge, detergent, a counter, or a dishwasher"
68,97,97,17,4,"""",49718,survey-text,8,988043,70,6108ba2774a08a10c085bb41,610ac7706522b982dba7e4e6,61080e770015049d96187e01,610ac7706522b982dba7e4e6,"{""Plan"":""Fire cannot exist without oxygen, so the best way to achieve this goal would be to grab a very thick heavy cloth and pat the flame out. ""}","""",test,Put out a fire that started near the wires from your TV.,generate plans,"without using a fire extinguisher, water, or a phone"
69,98,98,17,4,"""",158084.5,survey-text,9,1146131,70,6108ba2774a08a10c085bb41,610ac7706522b982dba7e4e6,61080e770015049d96187e01,610ac7706522b982dba7e4e6,"{""Plan"":""I have no idea. If it is a long term fix I would take it in to a friend who maybe knows more about fixing cars than I do. If it is a short term fix, honestly I would call my parents and ask to be picked up. I would probably grab duct tape or some sort of glue to glue the hole. Then I would use one of those machines that pushes air back into the tire to pump it to a level that will at least allow me to travel to wherever I need to be.""}","""",test,Fix a flat tire.,generate plans,"without using a spare tire, a car mechanic, a tow truck, a car jack, vulcanizing tools, or a pressure gauge"
